Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Entrevista Com o Surdo Gay	Entrevista Com o Surdo Gay	Entrevista Com o Surdo Gay	Entrevista Com o Surdo Gay						2004	June 1, 2004	2004																			DMDb; Sign on Screen									Lino, a reporter, interviews Arlindo, who is a gay and deaf man. In the interview, he tells (always using the sign language) about the community of gay deaf people living in São Paulo, and recounts some stories about himself and his friends with the same problem: Diego, who ends up mixing himself up with drugs, as a result of the social rejection he experiences; Thales, a lonely man who only came out of the closet after meeting some other deaf gay friends; Marcello, who hates condoms and thinks he’s immune to Aids and VD; and Erick, with serious relationship problems with his family.	Interview with a gay deaf Brazilian man			Celso Badin				x Documentaries by Deaf Directors; x Documentaries	all/most dialogue in sign language; queer	Documentary	Documentary; N/A	1 minutes		Brazilian Sign Language	Brazilian Sign Language (LSB)	Brazil	Brazil		Celso Badin		Free Documentary	https://deafmovie.org/title/entrevista-com-o-surdo-gay/				tt0483983	–
Ernest Goes to Camp		Ernest Goes to Camp							1987		1987																			Sign on Screen										Screwball comedy includes 'Old Indian Chief' played by Italian actor Iron Eyes Cody who uses a home sign language in one scene								comedy; deaf mystic; Indigenous character/themes	Feature					English; invented sign language		US		John R. Cherry III							tt0092974	Q588470
Eroica		Eroica							1949		1949																			Sign on Screen										Biography of Beethoven set during the period of his composition of the Heroic Symphony, as his hearing loss progresses								adapting to deafness; Beethoven; biopic; deaf musician/dancer; drama; hearing actor in deaf role; music; progressive hearing loss	Feature					German		Austria		Walter Kolm-Veltée							tt0041335	Q1361236
Eroica		Eroica							2003		2003																			Sign on Screen										TV movie about Beethoven's Heroic Symphony in which characters debate the reign of Napoleon; at the film's end, Beethoven confesses he is going deaf								adapting to deafness; Beethoven; biopic; deaf musician/dancer; drama; hearing actor in deaf role; music; progressive hearing loss	Feature					English		UK		Simon Cellan Jones								
Erreur sur la personne		Erreur sur la personne	Erreur sur la personne						1996		1996																			Sign on Screen										A Montreal police officer has suffered two accidents; one which killed his wife, the other which deafened him. While learning to use a hearing aid and read lips, he becomes fascinated by a new woman								adapting to deafness; crime/mystery; deafened by accident/violence; deafened soldier; hearing aid; lipreading, inc. magical	Feature					French		France		Gilles Noël								
Escape Room	Escape Room	Escape Room							2019	January 3, 2019	2019																			DMDb; Sign on Screen									Six strangers are given mysterious black boxes with tickets to an immersive escape room for a chance to win tons of money. Being locked in several rooms with extreme conditions, they discover the secrets behind the escape room and must fight to survive and to find a way out.	Deadly escape room horror movie in which the fourth room relies on one character's knowledge of American Sign Language (ASL)							Movies with No Deaf Actors | Supporting Roles	Deaf Gain; horror; survival narrative	Feature	Action; Adventure; Horror			English	American Sign Language (ASL); English	USA	South Africa; US		Adam Robitel			https://deafmovie.org/title/escape-room/				tt5886046	Q48672477
Escuela de Sordos	Escuela de Sordos								2013	November 12, 2013							tt3340184	tt3340184												DMDb									An accurate and emotional record of the work and the delivery of a teacher of a school for deaf children, which invites reflection.								x Documentaries; x Documentaries by Non-Deaf Directors				01 hours 12 minutes		Argentine Sign Language; Spanish		Argentina		50-100% Sign Language Usage				https://deafmovie.org/title/tt3340184/				tt3340184	–
Eszkimó asszony fázik		Eszkimó asszony fázik	Eszkimó asszony fázik						1983		1983																			Sign on Screen										Love triangle thriller in which a woman's deaf husband kills her hearing lover; she abandons both								crime/mystery; deaf villain/suspect; deaf-hearing relationship; thriller	Feature					English; Hungarian		Hungary		Janos Xantus								
Eternals	Eternals	Eternals			Eternals				2021	November 5, 2021	2021		2021				tt9032400			tt9032400	https://www.imdb.com/title/tt9032400/									DMDb; Sign on Screen; IMDb HoH					The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.	Deaf actress Lauren Ridloff plays Marvel's first Deaf superhero and uses ASL			The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.	Marvel adaptation about a group of immortal superheroes includes deaf superhero Makkari, played by Lauren Ridloff		Lauren Ridloff					Movies with Deaf Actors | Leading Roles; Movies	deaf actor; deaf superhero; Deaf Gain	Feature	Action; Adventure; Drama; Sci-fi; Fantasy				American Sign Language (ASL); English	USA	UK; US	1-10% Sign Language Usage	Chloe Zhao			https://deafmovie.org/title/eternals/	Disney+ 			tt9032400	Q23894629
Etsuraku		Etsuraku	Etsuraku						1965		1965																			Sign on Screen										Crime thriller includes deaf girl character who chooses life on street rather than being with yakuza man								crime/mystery; sex work; thriller	Feature					Japanese		Japan		Nagisa Ôshima								
Etude	Etude	Etude							2007	September 27, 2007	2007																			DMDb; Sign on Screen									A concert cellist prepares to play in public for the first time in years. She’s extremely talented, emotionally fragile – and completely deaf.	Nervous deaf concert cellist plays in public for the first time in years							Shorts with No Deaf Actors | Leading Roles; Shorts	deaf musician/dancer; music	Short	Drama; Short	6 minutes		American Sign Language; English	American Sign Language (ASL); English	USA	US		Oscar Moralde			https://deafmovie.org/title/etude/				tt1414188	–
Even Just		Even Just							2020		2020																			Sign on Screen										Drama about a depressed man whose sister is going deaf and learning American Sign Language (ASL)								adapting to deafness; drama; learning sign; progressive hearing loss; sibling relationship	Feature					American Sign Language (ASL); English		US		Daniel Kremer							tt7650956	–
The Evening Bell		The Evening Bell	Manjong						1970		1970																			Sign on Screen										Son of a nonverbal couple finds out he might have been hired for his job because he can sign and his boss wants to marry his deaf daughter off to him								Coda; deaf-hearing relationship; nonverbal	Feature					Korean; Korean Sign Language (KSL)		South Korea		Shin Sang-ok							tt0389145	Q16724771
Evolution of BSL: A Personal Journey					Evolution of BSL: A Personal Journey				2012				2012				tt3557178			tt3557178	https://www.imdb.com/title/tt3557178/?ref_=ls_t_82									IMDb HoH					Documentary about the evolution of British Sign Language (BSL). Presenter Ramon Woolfe takes us on a journey into the development of BSL, as seen through the eyes of of his relatives - Ramon is the eighth generation of his family to be born Deaf. We meet Ramon's grandmother, who refers to her sign language as 'ordinary sign language' while his mother shows how she uses BSL with less English influence. We find out about attempts to preserve regional signs through Ramon's father, and also meet leading figures in the Deaf community, the media and academia to find out about the history of the language, and what the future might hold.																														tt3557178	–
Ex Drummer		Ex Drummer							2007		2007																			Sign on Screen										Manipulative writer becomes drummer in a band of disabled musicians (one deaf, one hearing with speed impediment)								deaf musician/dancer; disability; music	Feature					Dutch; Flemish		Belgium; France; Italy		Koen Mortier							tt0812243	Q1383282
The Exchange		The Exchange	El intercambio						2017		2017																			Sign on Screen										Comedy in which a married Brazilian couple decides to try swinging; includes passages in sign language								comedy	Feature					Brazilian Sign Language (LSB); Portuguese		Brazil		Ignacio Nacho							tt5845262	Q29916296
Excision	Excision	Excision							2012	January 21, 2012	2012																			DMDb; Sign on Screen									This film is about Pauline, a young woman (18yo) who lives with her family and her younger sister Grace who has Cystic Fibrosis. Pauline has some delusions of being a great surgeon, and she also has some horrific dreams that she actually finds “stimulating” to say the least. Her family put up with her delusions and her school classmates find her annoying. But as this is all happening around her she has a plan, a plan that will leave them all shocked, and some people may not survive.	Horror film includes a deaf character played by Marlee Matlin								deaf actor; horror	Feature	Comedy; Drama; Horror				English		US		Richard Bates Jr.			https://deafmovie.org/title/excision/				tt1984153	Q3061838
Exit the Sun	Exit the Sun				Exit the Sun				2011	November 18, 2011			2011				tt2117875			tt2117875	https://www.imdb.com/title/tt2117875/?ref_=ls_t_152									DMDb; IMDb HoH					Two unlikely characters cross paths in a place neither here or there.				Two unlikely characters cross paths in a place neither here or there.			Daniel Pfaff; Dexter Jones	Chase Burton				Shorts; Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers			Sci-fi; Short	11 minutes		American Sign Language		USA					Free Short	https://deafmovie.org/title/exit-the-sun/				tt2117875	–
An Experience	An Experience								2014	February 22, 2014																				DMDb									Three deaf women tell a personal story monologue-style in American Sign Language about their memory of being traumatized by a simple kiss.			Amber Zion	Jules Dameron				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Drama; Short					USA		50-100% Sign Language Usage				https://deafmovie.org/title/an-experience/				tt3560300	–
The Expert		The Expert							1932		1932																			Sign on Screen										Old man comes to live with his daughter, son-in-law and grandson; the grandson and grandfather befriend a group of old men living nearby (including some deaf men)								friendship	Feature					English		US		Archie Mayo							tt0022864	Q27964316
Explicit IIIs		Explicit IIIs							2008		2008																			Sign on Screen										Series of interconnected romances set in working-class Philadelphia, includes passages of sign language								drama; romance	Feature					American Sign Language (ASL); English		US		Mark Webber							tt1095001	Q5421258
Exponát roku 1827	Exponát roku 1827								2008	October 14, 2008																				DMDb									A tourist happens to catch two mobsters passing a mysterious briefcase at a Ukrainian train station.				Miroslav Gavelčík				Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies				01 hours 27 minutes		Czech Sign Language		Czech Republic		50-100% Sign Language Usage				https://deafmovie.org/title/exponat-roku-1827/				tt3189332	Q4358469
Extraction 2				Extraction 2					2023			2023														Q108690659	Q108690659	Extraction 2	https://en.wikipedia.org/wiki/Extraction_2	Wikipedia				American action sequel features crime lord Zurab (played by hearing actor Tornike Gogrichiani), who wears a hearing aid after being beaten by his father in childhood, and has tinnitus that manifests as auditory hallucinations.																															tt12263384	Q108690659
Eyes of a Stranger		Eyes of a Stranger						Eyes of a Stranger	1981		1981					1981														Sign on Screen; Hollywood Speaks										Woman catches a predator who is spying on her deafblind sister (played by sighted hearing actor Jennifer Jason Leigh)	*A Miami television broadcaster becomes increasingly alarmed about a rapist... her younger sister, Tracy (Leigh) is deaf, blind, and mute as a result of a childhood rape... In the end, the killer finds Tracy... which triggers the return of her hearing and sight.					Jennifer Jason Leigh		deaf victim/witness; deafblind character; hearing actor in deaf role; hearing stalker/killer; sibling relationship; survival narrative; thriller	Feature			10 reels		English; Spanish		US		Ken Wiederhorn					Georgetown Productions/Warner	129	tt0082352	Q5422836
Facial Recognition		Facial Recognition							2017		2017																			Sign on Screen										Short thriller about AI in phones manipulating sleepers, but not having effect on deaf woman as she's immune to the sounds								character survives dangerous sound thanks to deafness; Deaf Gain; horror; thriller	Short					English		US		J.R. Howell							tt7544068	–
Fairytale of London Town	Fairytale of London Town	Fairytale of London Town							2010	December 20, 2010	2010						tt1757747	tt1757747												DMDb; Sign on Screen									A bittersweet modern day fairytale where three deaf women, Veronica, Karen and Sally, face three very different Christmases until an unexpected event throws them together. Veronica is just out of prison, Sallys sons have left home and Karen has to work through Christmas; what could they possibly have in common? When Veronica thinks she has killed her bullying mother on Christmas Eve she runs to Karen for help. When Sally decides to leave her husband on Christmas Eve she turns to Karen for help. However, dependable Karen is at breaking point; forced to work through Christmas to pay off her husbands debts and help keep the bailiffs at bay. It is the coming together of these old school friends that ignites a yearning for something more. Their former hopes and dreams are remembered and a wish to change their lives for the better. They realise that being with each other means that theyre not on their own and that they will always have a lifelong family together.	Christmas movie in which three deaf women each have a very different Christmas before being brought together			Louis Neethling				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	deaf writer/producer; drama; religion	Short	Drama			British Sign Language	British Sign Language (BSL); English	United Kingdom; EUR	UK	50-100% Sign Language Usage	Louis Neethling	BSLZone	Free Short	https://deafmovie.org/title/fairytale-of-london-town/	https://www.bslzone.co.uk/watch/fairytale-london-town			tt1757747	–
Faith		Faith							2020		2020																			Sign on Screen										Short between two British Sign Language (BSL) users; one a recently-out lesbian and the other a strict Muslim								all/most dialogue in sign language; queer; religion	Short					British Sign Language (BSL)		UK									tt12524928	–
The Fall		The Fall							2006		2006																			Sign on Screen										Injured stuntman tells girl patient stories while both are hospitalised; includes deaf side character								friendship	Feature					English; Latin; Romanian		India; South Africa; US		Tarsem Singh							tt0460791	Q547120
The Family Stone	The Family Stone	The Family Stone					The Family Stone		2005	November 26, 2005	2005				2005		tt0356680							tt0356680	https://www.imdb.com/title/tt0356680/?ref_=ls_t_35					DMDb; Sign on Screen; IMDb Deaf Characters								An uptight businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.	An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family’s annual Christmas celebration and finds that she’s a fish out of water in their free-spirited way of life.	Family dramedy with deaf sibling, includes dramatic scene in which grandmother asserts her deaf grandson's normality		Tyrone Giordano					Movies with Deaf Actors | Supporting Roles; Movies	deaf child; deaf child hearing parent; family drama; sibling relationship	Feature	Comedy; Drama; Romance			American Sign Language	American Sign Language (ASL); English	USA	US		Thomas Bezucha			https://deafmovie.org/title/the-family-stone/	Disney+			tt0356680	Q1064838
Father Tongue	Father Tongue				Father Tongue				2022	October 10, 2022			2022				tt25228030			tt25228030	https://www.imdb.com/title/tt25228030/?ref_=ls_t_62									DMDb; IMDb HoH					A non-functional relationship between a deaf child and his hard-working father, who struggles to accept his son's deafness.				A non-functional relationship between a deaf child and his hard-working father, who struggles to accept his son’s deafness.											Drama; Short	19 minutes		Hebrew		Israel						https://deafmovie.org/title/father-tongue/				tt25228030	–
The Fear		The Fear	O Fovos						1966		1966																			Sign on Screen										A resented son works alone on the family farm with a deaf servant, who he harasses then rapes and kills								deaf servant; deaf victim/witness; family drama; hearing stalker/killer	Feature					Greek		Greece		Kostas Manoussakis							tt0144935	Q3211583
The Feather: The Agatha Tiegel Hanson Story		The Feather: The Agatha Tiegel Hanson Story							2020		2020																			Sign on Screen										Story of Agatha Tiegel Hanson, the first 4-year Arts graduate of Gallaudet University								all/most dialogue in sign language; Gallaudet University; school/university setting	Feature					American Sign Language (ASL)		US		Gary Brooks							tt10578604	–
Feel My Voice	Feel My Voice								2026	April 3, 2026							tt38589464	tt38589464												DMDb									A teenager, the only hearing member of a deaf family, finds her voice and learns to believe in herself through her passion for singing.			Emilio Insolera; Carola Insolera; Antonio Iorillo; Fulvio Fugalli								Comedy; Drama	01 hours 35 minutes		Italian Sign Language; Italian		Italy; EUR		50-100% Sign Language Usage		Netflix		https://deafmovie.org/title/feel-my-voice/				tt38589464	Q138807879
Feel the Beat		Feel the Beat			Feel the Beat				2020		2020		2020				tt10714856			tt10714856	https://www.imdb.com/title/tt10714856/?ref_=ls_t_173									Sign on Screen; IMDb HoH					After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.	Deaf actress Shaylee Mansfield plays a Deaf side character who communicates via ASL.				Children's dance film including deaf dancer played by Shaylee Mansfield								deaf actor; deaf child; Deaf Gain; deaf musician/dancer; music	Children's feature					American Sign Language (ASL); English		US		Elissa Down				Netflix			tt10714856	Q96473088
Feeling Through	Feeling Through								2021	January 20, 2021							tt9280166	tt9280166												DMDb									While wandering the neon-lit streets of New York City, desperate to find shelter, Tereek, an unhoused teenager living on the margins of society, comes across Artie, a deafblind man trying to get home. Reluctantly, Tereek decides to lend a hand, only to find himself bonding with his unlikely new friend. And, little by little, as the perfect strangers embark on a silent, night-long journey in the heart of the city, a life-altering transformation begins to take place. Is love the essence and purpose of being human?			Robert Tarango					Shorts with Deaf Actors | Leading Roles; Shorts			Drama; Short	18 minutes		American Sign Language; English		USA					Free Short	https://deafmovie.org/title/feeling-through/				tt9280166	Q106246804
Feeling Through		Feeling Through							2020		2020																			Sign on Screen										A homeless hearing, sighted teen encounters a Deafblind man waiting for a bus at night; they strike up a conversation and friendship								deaf actor; deaf-hearing relationship; deafblind character; drama; friendship; deaf character inspires hearing character’s self-actualisation	Short					English		US		Doug Roland				YouTube				
Femmes Sourdes, dites-moi	Femmes Sourdes, dites-moi								2015	May 21, 2015																				DMDb									A documentary film that chronicles the lives of deaf women who attended Quebec’s first school for deaf women, the Institute of Deaf Women, managed by the Sisters of Providence				Marie-Andrée Boivin				x Documentaries by Deaf Directors; x Documentaries			Documentary	56 minutes		French; Quebec Sign Language		Canada		50-100% Sign Language Usage				https://deafmovie.org/title/femmes-sourdes-dites-moi/					
A Fever In the Blood		A Fever In the Blood							2002		2002																			Sign on Screen										A private investigator's ear is bitten off in a fight so he pretends to be a deaf detective								crime/mystery; hearing person pretending to be deaf	Short					English		UK		Andrew Pulver							tt0349449	–
Final Year (orig. title: Último año)	Final Year (orig. title: Último año)								2017	January 13, 2017																				DMDb									Five friends have stayed together throughout the years in a school for the deaf. Now they are in their last year together. They will soon be forced to leave safety and enter schools for the hearing. The film tells about how the deaf are made invisible and discriminated against in a very unfair school system.								x Documentaries; x Documentaries by Non-Deaf Directors				01 hours 07 minutes		Spanish; Chilean Sign Language		Chile						https://deafmovie.org/title/final-year-orig-title-ultimo-ano/					
Finality of Dusk		Finality of Dusk							2023		2023						tt14679876		tt14679876											Sign on Screen										A post-apocalyptic world means air is too toxic to breathe without specialised helmets, a deaf character called Odin stars as a threat in this environment. 								drama; d/Deaf villain/suspect; apocalypse	Feature					English; American Sign Language (ASL)  		Canada 		Madison Thomas							tt14679876	Q123367919
Finding June		Finding June							2016		2016																			Sign on Screen										Family drama short from the perspective of a deaf woman (Amber Zion) who's been diagnosed with cancer								deaf actor; deaf victim/witness; drama; family drama	Short					American Sign Language (ASL); English		US		Anna Schumacher							tt2847602	–
Fingers on the Line	Fingers on the Line								2018	February 1, 2018																				DMDb									L.Grenier, V.Leduc & Pamela E. Witcher, CANADA, 10′								x Documentaries by Deaf Directors; x Documentaries			Short			American Sign Language		Canada					Free Documentary	https://deafmovie.org/title/fingers-on-the-line/				–	–
The Fingerspellers		The Fingerspellers							2010		2010																			Sign on Screen										A family of gangsters communicate cleverly in British Sign Language (BSL)								comedy; crime/mystery; Deaf Gain; all/most dialogue in sign language; sign language used for hiding/secrets	Short					British Sign Language (BSL)		UK		William Mager							tt1919127	–
Firefly					Firefly				2023				2023				tt23645408			tt23645408	https://www.imdb.com/title/tt23645408/?ref_=ls_t_90									IMDb HoH					A young girl who is deaf, living in a Cornish fishing village with her dad and Grandad sees her life change drastically when her dad remarries and goes to work on an oil rig, leaving her with an increasingly abusive stepmother.																														tt23645408	–
The First Purge		The First Purge							2018		2018																			Sign on Screen										Horror thriller sequel about state-sanctioned annual night of violence includes Millicent Simmons								deaf actor; horror; survival narrative; thriller	Feature					American Sign Language (ASL); English; French; Spanish		China; Japan; US		Gerard McMurray							tt6133466	Q42048180
The Five Senses		The Five Senses					The Five Senses		1999		1999				1999		tt0168794							tt0168794	https://www.imdb.com/title/tt0168794/?ref_=ls_t_19					Sign on Screen; IMDb Deaf Characters								Interconnected stories examine situations involving the five senses. Touch is represented by a massage therapist who is treating a woman, while her daughter accidentally loses the woman's pre-school daughter in the park. The older daughter meets a voyeur (vision), a professional house-cleaner has an acute sense of smell, a cake maker has lost her sense of taste, and an older man is losing his hearing.		Music comedy drama about the five senses includes a deaf character								comedy; drama; music	Feature					English; French; Italian		Canada		Jeremy Podeswa							tt0168794	Q2411392
Flash Before the Bang					Flash Before the Bang				2023				2023				tt4341220			tt4341220	https://www.imdb.com/title/tt4341220/?ref_=ls_t_12									IMDb HoH					There are no barriers for champions, only hurdles.																														tt4341220	Q131797487
A Flash of Light		A Flash of Light							1910		1910																			Sign on Screen										D.W. Griffith short from 1910 about a chemist who is blinded and deafened by an explosion in his lab, before being cured by an operation								deafened by accident/violence; deafness 'cured'; hearing actor in deaf role; temporarily deafened	Short					English		US		D.W. Griffith							tt0001217	Q3602472
Flesh and Fury		Flesh and Fury							1952		1952																			Sign on Screen										Story of a deaf boxer exploited by a gold-digging femme fatale type								sports; romance; thriller	Feature					American Sign Language (ASL); English		US		Joseph Pevney							tt0044622	Q5458713
Flesh and Fury (aka Hear No Evil)								Flesh and Fury (aka Hear No Evil)	1952							1952														Hollywood Speaks											This is the story of a deaf boxer, Dummy Callan (Curtis), who initially does not speak or use signs... Callan later undergoes an operation that restores his hearing... During the championship fight, Callan again loses his hearing...					Tony Curtis						82 min											Universal-International	117-118		
Floating Sauna	Floating Sauna								2018	June 7, 2018																				DMDb									Watch Full Movie [Free]   Free				Erik Akervall				x Docuseries by Deaf Directors; x Docuseries			Documentary			International Sign		Sweden; EUR		50-100% Sign Language Usage			Free Docuseries	https://deafmovie.org/title/floating-sauna/				–	–
Florence Foster Jenkins		Florence Foster Jenkins							2016		2016																			Sign on Screen										Biopic of Florence Foster Jenkins, the famously 'awful' opera singer who was partially deafened by syphilis								biopic; deaf musician/dancer; deafened by illness; drama; music	Feature					English; German; Italian; Russian		France; UK		Stephen Frears							tt4136084	Q19955874
Flying By	Flying By						Flying By		2009	April 18, 2009					2009		tt1131732							tt1131732	https://www.imdb.com/title/tt1131732/?ref_=ls_t_66					DMDb; IMDb Deaf Characters								This musically driven drama follows a successful Real Estate developer who puts his marriage and business on the line when given the opportunity to follow his ultimate, life-long dream: music.	This musically driven drama follows a successful Real Estate developer who puts his marriage and business on the line when given the opportunity to follow his ultimate, life-long dream: music.								Movies with No Deaf Actors | Leading Roles			Drama; Family; Music	01 hours 30 minutes										https://deafmovie.org/title/flying-by/				tt1131732	Q5463368
The Flying Marine								The Flying Marine	1929							1929														Hollywood Speaks											Injured performing movie stunts, a former marine pilot (Lyon) loses his hearing... When his hearing returns, he learns of his girlfriend's love for his brother... Lyon continues his stunt flying, which results in his death.					Ben Lyon						Not specified in Filmography											Columbia	113	tt0019888	Q50650359
Follow That Bird	Follow That Bird	Follow That Bird							1985	August 2, 1985	1985																			DMDb; Sign on Screen									Eccentric and lovable Big Bird lives a very carefree life with his friends on Sesame Street. But his happiness is cut short when a strict social worker named Miss Finch sends him away to live with a wacky family of Dodos. After a long week and feeling homesick, he decides that he has had enough and sets out to get back to Sesame Street. Word gets around and he is totally unaware that his friends are in search of him. But he better watch out because both Miss Finch and the Sleaze Brothers are also after him for their own purposes.	Big Bird Sesame Street children's movie includes dialogue in American Sign Language (ASL) and long-serving Sesame Street librarian played by deaf actor Linda Bove		Linda Bove					Movies with Deaf Actors | Supporting Roles; Movies	deaf actor	Children's feature	Adventure; Comedy; Family			American Sign Language; English	American Sign Language (ASL); English	USA	US		Ken Kwapis			https://deafmovie.org/title/follow-that-bird/				tt0089994	Q3234280
Foolish Smarts and How to Lose Them		Foolish Smarts and How to Lose Them							2017		2017																			Sign on Screen										Post-apocalyptic short in which a group of teens have a final dreamy day. Includes deaf actor Josh Castille in a role known as 'Signs'								apocalypse; deaf actor; drama; friendship	Short					American Sign Language (ASL); English		US		Lauren Meyering							tt6528120	–
For a Deaf Son		For a Deaf Son							1993		1993																			Sign on Screen										Documentary about family whose one-year-old is found to be profoundly deaf								born deaf; deaf child; deaf child hearing parent	Documentary					English		US		Rob Tranchin							tt10978686	–
For the First Time		For the First Time						For the First Time	1959		1959					1959														Sign on Screen; Hollywood Speaks										Opera singer falls in love with deaf woman	*Tony Costa (Mario Lanza) is an infamous opera singer. He falls in love with a young woman (von Koszian) who is deaf but lip-reads and speaks perfectly; she refuses to marry him unless she can hear.					Johanna von Koszian		deaf-hearing relationship; music; romance	Feature			11 reels		English		Italy; US; West Germany		Rudolph Mate					MGM	121	tt0052817	Q5467036
For You, Mr Bell		For You, Mr Bell							1971		1971																			Sign on Screen										Documentary short about Alexander Graham Bell’s career, mostly focusing on the invention of the telephone but also including his oralist and eugenicist research on deafness (though not critical)								Alexander Graham Bell; oralism (repression of sign)	Documentary					English		Canada		William Canning							tt0225771	–
Forget Me Not	Forget Me Not								2006	September 1, 2006																				DMDb									Black Summer					Mark Wood			Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies			Drama			American Sign Language		USA						https://deafmovie.org/title/forget-me-not/				tt3062390	–
Forgiven	Forgiven								2019	May 30, 2019																				DMDb									SignLight FIlms								Shorts with Deaf Actors | Leading Roles; Shorts				13 minutes		American Sign Language		USA		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/forgiven/				–	–
''Forgiveness''				''Forgiveness''					2021			2021														Q115804842	Q115804842	Forgiveness (2021 film)	https://en.wikipedia.org/wiki/Forgiveness_(2021_film)	Wikipedia				Horror film about three women who wake up in a hospital blind, deaf, and mute respectively, and must work together to figure a way out of their predicament.																															tt9185128	Q115804842
Found in Love	Found in Love								1970	January 1, 1970																				DMDb									Watch Full Documentary [Free]https://www.bslzone.co.uk/watch/found-love				Charlie Swinbourne				x Documentaries by Deaf Directors; x Documentaries			Short	28 minutes										https://deafmovie.org/title/found-in-love/				–	–
Four Deaf Yorkshiremen and a Wedding					Four Deaf Yorkshiremen and a Wedding				2022				2022				tt24022248			tt24022248	https://www.imdb.com/title/tt24022248/?ref_=ls_t_60									IMDb HoH					When Dawn announces that she is getting married, Angus worries that she's chosen the wrong man. He is given numerous tasks as father of the bride and struggles to complete them all before the wedding. Tim becomes protective of Madeline and wants to tell her how he really feels about her. Things start going missing in the village and the men search for a burglar. Will Dawn's wedding day go as planned? A Mutt and Jeff Pictures production in association with Eyewitness Media, written by Charlie Swinbourne, produced by Camilla Arnold and directed and edited by Louis Neethling.																														tt24022248	–
Four Deaf Yorkshiremen Go to Blackpool		Four Deaf Yorkshiremen Go to Blackpool							2014		2014																			Sign on Screen										Comedy short entirely in British Sign Language (BSL) about four grumpy deaf men travelling to a deaf event								comedy; deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language	Short					British Sign Language (BSL)		UK		Charlie Swinbourne							tt3761456	–
Four Deaf Yorkshiremen's Contest					Four Deaf Yorkshiremen's Contest				2023				2023				tt25152320			tt25152320	https://www.imdb.com/title/tt25152320/?ref_=ls_t_61									IMDb HoH					Fred struggles to keep up with the other men when Bruno arrives in the village to organise a tough contest. Fred faces a medical emergency that helps him understand the past. Tim struggles with his marriage to Madeline and learns some important lessons. Will everyone make it home safe and sound? What is Fred's big secret? A Mutt and Jeff Pictures production in association with Eyewitness Media, written by Charlie Swinbourne, produced by Camilla Arnold and directed and edited by Louis Neethling.																														tt25152320	–
Four Weddings and a Funeral	Four Weddings and a Funeral	Four Weddings and a Funeral							1994	January 20, 1994	1994																			DMDb; Sign on Screen									Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.	Romantic comedy includes deaf brother of main character							Movies	comedy; queer; romance; romantic comedy; sibling relationship	Feature	Comedy; Drama; Romance				British Sign Language (BSL); English		UK		Mike Newell			https://deafmovie.org/title/four-weddings-and-a-funeral-2/				tt0109831	Q901213
Fractal					Fractal				2023				2023				tt21920010			tt21920010	https://www.imdb.com/title/tt21920010/?ref_=ls_t_63									IMDb HoH					A Deaf boy calls upon a mysterious creature to find solace from tragedy.																														tt21920010	–
