English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Boardwalk Empire		Timothy Van Patten	2010	Series	English	US		Season 1 episode 6 ("Family Limitation") of the New Jersey Mafia series set in the 1920s includes Sonny Capone, Al Capone's deaf son (series duration 2010-14)	crime/mystery; deaf villain/suspect; deafened by illness; drama	
Boat		Louise Stern	2018	Short	British Sign Language (BSL); English	UK		A young deaf woman rents the spare room on a boat where she lives with a gregarious hearing man, communicates through writing, gesture and dance	deaf actor; deaf director; deaf writer/producer; deaf-hearing relationship	
The Book of Boba Fett		Jon Favreau	2021-2022	Series	English; invented sign language	US	Disney+	Star Wars spinoff series about Mandalorian warrior Boba Fett includes Fett fluently signing with the nonverbal Tusken Raiders (who are possibly deaf but not confirmed to be so). Their sign language was invented by deaf actor Troy Kotsur, who plays one of the Raiders, and who deliberately avoided American Sign Language (ASL) when creating the language	deaf actor; deaf writer/producer; nonverbal	
The Borgias		Simon Cellan Jones	2011	Series	English	US		Season 1 episode 3 ( "The Moor") of this Renaissance political drama series includes the  King Ferdinand I (Ferrante) of Naples, who was deaf (series duration 2011-12)	drama; hearing actor in deaf role; religion	
Born This Way Presents: Deaf Out Loud		Marlee Matin (Exec. Prod.)	2018	Documentary	American Sign Language (ASL); English	US		Documentary about families whose children attend the Texas School for the Deaf	deaf child; deaf child hearing parent; Deaf Culture; School for the Deaf; school/university setting	
Boy Kills World		Moritz Mohr	2023	Feature	English	Germany; South Africa; US		Problematic revenge feature in which hearing actor Bill Skarsgård plays a deaf character who is trained by a shaman to take revenge on the people who killed his family. The film includes mostly lipreading and some out-of-frame fake signs Skarsgård's character, 'Boy', uses with the sham.	action; deaf villain/suspect; deafened by accident/violence; hearing actor in deaf role; Indigenous character/themes; lipreading, inc. magical; revenge/viligante	
The Boy Who Wanted to Be a Lion		Alois Di Leo	2010	Short	English	UK		Young deaf boy in the 1960s goes on a field trip to the zoo and is inspired by and becomes obsessed with the lion	deaf child	
Boy Missing	Secuestro	Mar Targarona	2016	Feature	Spanish; Spanish Sign Language (LSE)	Spain	Netflix	Thriller in which a deaf boy is kidnapped and his kidnapper pursued by police	deaf child; deaf victim/witness; hearing killer/stalker	
BPM	120 battements par minute	Robin Campillo	2017	Feature	French; French Sign Language (LSF)	France		Wide-ranging drama about the Act Up Paris AIDS organisation in the 1990s includes the deaf side character Bachir, who participates in debate through a French Sign Language (LSF) interpreter	Bachir Saïfi; deaf actor; queer	
Brave		Mark Andrews; Brenda Chapman; Steve Purcell	2012	Children's feature	English; invented sign language	US		Children's adventure film in which a bear communicates with main character Merida using an invented sign language, helping her to make a speech	nonverbal; signing animal	
The Brave Little Tailor in German Sign Language	Das tapfere Schneiderlein in deutscher Gebärdensprache 	Britt Dunse	2015	Children's short	German Sign Language (DGS)	Germany		Children's German Sign Language (DGS) animated rendition of the fairy tale The Brave Little Tailor	all/most dialogue in sign language	
Bridgerton		Chris Van Dusen	2020-	Series	British Sign Language (BSL); English	US	Netflix	Season 3 episode 1 of this aristocracy romance series includes a brief scene in which a young woman is presented to the Queen, then signs with her deaf mother (played by Deaf actor Sophie Wooley) "she hated me", who responds in British Sign Language (BSL) "impossible, you were perfect".	CODA; Sophie Woolley	
Brimstone		Martin Koolhoven	2016	Feature	American Sign Language (ASL); Dutch; English; Mandarin	Belgium; France; Germany; Netherlands; Sweden; UK; US		Western in which the protagonist (Elizabeth, Dakota Fanning) is a nonverbal signing hearing character due to having her tongue cut out	nonverbal; western	
Bunk’d		Pamela Eells	2015-2024	Children's series	American Sign Language (ASL); English	US	Disney+	A group of kids (including deaf actor Shaylee Mansfield) gather at the Maine summer camp where their parents met	deaf actor; Shaylee Mansfield	
Buried Treasure		Sharisse Zeroonian	2022	Short	American Sign Language (ASL); English	US		Short about a child alien includes deaf actors Eddie Buck and Megan Clancy	deaf actor; Eddie Buck; Megan Clancy	
	Cado Minuto Cuenta	Jorge Michel Grau; Moisés Ortiz Urquidi; Fernando Urdapilleta 	2024	Series	Spanish	Mexico		Dramatic retelling of the 1985 Mexico City earthquake follows several affected characters, including a deaf woman	action; drama; survival narrative	
The Call of Silence		Madli Lääne	2015	Documentary	Estonian; Estonian Sign Language (EVK)	Estonia		Estonian documentary about a group of deaf Pentecostals	religion	
Can You Hear My Heart?	Nae ma-eum-i deul-li-da	Sang-ho Kim	2011	Series	Korean	South Korea		K-drama of a 30-episode single season in which deaf man pretends to be hearing to woo a girl	deaf-hearing relationship; drama; romance	
Caroline of Virginia		Eric Norcross	2011	Short	American Sign Language (ASL); English	US		A deaf woman meets a hearing musician, then the next morning she wakes up hearing and he deaf	deaf-hearing relationship; deaf musician/dancer; deafness 'cured'; drama; music; temporarily deafened	
The Case for Christ		Jon Gunn	2017	Feature	American Sign Language (ASL); English	US		Christian drama about a journalist who sets out to disprove the existence of God; includes passages in American Sign Language (ASL)	drama; religion	
Cassadaga		Anthony DiBlasi	2011	Feature	English	US		Horror in which a young deaf woman resurrects the spirit of a murdered girl, who leads her to the serial killer who killed her	deaf victim/witness; hearing stalker/killer; horror; revenge/vigilante	
Castle Rock		Sam Shaw; Dustin Thomason	2018	Series	American Sign Language (ASL); English	US	Binge	In season 1 of the dark horror mystery series from the Stephen King universe, tinnitus is a sign of the ability to access other dimensions; CJ Jones' cult leader-like character believes deafness is a form of 'perfection' and a means to reach 'God' and tries to deafen the protagonist as a result (series duration 2018-19)	crime/mystery; CJ Jones; deaf actor; tinnitus; Deaf Gain; horror; temporarily deafened	
Casualty		John Maidens	2020	Series	British Sign Language (BSL); English	UK		July 11 2020 episode of the medical drama includes deaf character, Jade, and was deaf directed and written (series duration 1986-)	deaf actor; deaf director; deaf writer; Charlie Swinbourne; Gabriella Leon; medical drama; Sophie Stone; Sophie Woolley	
Catch Santa		Kamau Buchanan	2010	Short	American Sign Language (ASL); English	US		Christmas comedy short in which a deaf boy determined to record Santa catches hearing robbers who steal the gifts of deaf families	comedy; deaf child; deaf victim/witness; family drama	
Ceasefire	Cessez-le-feu	Emmanuel Courcol	2016	Feature	French; French Sign Language (LSF)	Belgium; France		Wounded, hearing war veteran (Romain Duris) comes home nonverbal and learns sign language from teacher	learning sign; nonverbal	
Celebrity Big Brother 22			2018	Series	English	UK		22nd season of the celebrity reality show included 82-year-old deaf Coronation Street actor Amanda Barrie (series duration 2001-18)	deaf contestant; reality tv	
