Title	Year	IMDb ID	IMDb URL	Description	Notes
What?	2021	tt10988894	https://www.imdb.com/title/tt10988894/?ref_=ls_t_58	WHAT? is a black and white, silent (and signing) comedy about a struggling deaf actor, sick of agreeing to increasingly humiliating tasks just to get a role, who decides to take matters into his own - hands.	
Changer: A Hand telling	2022	tt31033884	https://www.imdb.com/title/tt31033884/?ref_=ls_t_59	Released last year as a radio play, renowned Deaf storyteller Howie Seago worked with original adapters Fern Naomi Renville and Roger Fernandes to create this first-of-its-kind, sign-language-based film featuring two Deaf Native storytellers. This film takes the original audio and augments it with gorgeous Lower Elwha S’Klallam landscapes and visual storytelling created for the screen. 	
Four Deaf Yorkshiremen and a Wedding	2022	tt24022248	https://www.imdb.com/title/tt24022248/?ref_=ls_t_60	When Dawn announces that she is getting married, Angus worries that she's chosen the wrong man. He is given numerous tasks as father of the bride and struggles to complete them all before the wedding. Tim becomes protective of Madeline and wants to tell her how he really feels about her. Things start going missing in the village and the men search for a burglar. Will Dawn's wedding day go as planned? A Mutt and Jeff Pictures production in association with Eyewitness Media, written by Charlie Swinbourne, produced by Camilla Arnold and directed and edited by Louis Neethling.	
Four Deaf Yorkshiremen's Contest	2023	tt25152320	https://www.imdb.com/title/tt25152320/?ref_=ls_t_61	Fred struggles to keep up with the other men when Bruno arrives in the village to organise a tough contest. Fred faces a medical emergency that helps him understand the past. Tim struggles with his marriage to Madeline and learns some important lessons. Will everyone make it home safe and sound? What is Fred's big secret? A Mutt and Jeff Pictures production in association with Eyewitness Media, written by Charlie Swinbourne, produced by Camilla Arnold and directed and edited by Louis Neethling.	
Father Tongue	2022	tt25228030	https://www.imdb.com/title/tt25228030/?ref_=ls_t_62	A non-functional relationship between a deaf child and his hard-working father, who struggles to accept his son's deafness.	
Fractal	2023	tt21920010	https://www.imdb.com/title/tt21920010/?ref_=ls_t_63	A Deaf boy calls upon a mysterious creature to find solace from tragedy.	
Veneer	2021	tt14396872	https://www.imdb.com/title/tt14396872/?ref_=ls_t_64	Middle aged sisters Mimi and Martha still live together. In fact, Martha still cooks, cleans and oversees Mimi’s life, afraid that her deaf sister cannot cope on her own. Mimi, in turn, hides behind a veneer of make-up and wigs to avoid confronting her non-starter life. But everything is not what it seems…	
Alfredo Corrado	2023	tt29332083	https://www.imdb.com/title/tt29332083/?ref_=ls_t_65	Julien Bourges partly retraces the life of Alfredo Corrado, an American deaf artist. Today, considered an important figure in the French deaf community, Alfredo Corrrado came to Paris in the late 1970s, at a time when sign language was forbidden and scorned. This unique documentary on Alfredo Corrado recounts the creation of International Visual Theater (IVT) and the adventures of the first deaf theater in France at the Château de Vincennes, which changed the history of deaf people in France.	
Being Michelle	2022	tt10815092	https://www.imdb.com/title/tt10815092/?ref_=ls_t_66	BEING MICHELLE follows the astounding journey of a deaf and disabled woman who survived incarceration under unimaginable circumstances by a system that refused to accommodate her needs as a deaf person with autism. Michelle's trajectory changed when she met Kim Law, a blind volunteer life coach who teaches classes to people in prison. Today, outside of prison, Kim and Michelle are doing the difficult work of unraveling Michelle's history, of telling the story of Michelle's traumatic childhood and her adverse experiences in the criminal justice system. With the support of Kim, Michelle realizes her own voice and strength. Throughout the film Michelle's artwork provides her own depiction of the trauma she survived as well as a means to her recovery. Ultimately, BEING MICHELLE is a story of redemption. It is about the bonds between women committed to thriving in a broken system, who are forging a path to healing that can only come through facing the truth and communicating it, together.	
The Tuba Thieves	2023	tt7741736	https://www.imdb.com/title/tt7741736/?ref_=ls_t_67	From 2011 to 2013, tubas were stolen from Los Angeles high schools. This is not a story about thieves or missing tubas. Instead, it asks what it means to listen.	
