Title	Year	IMDb ID	IMDb URL	Description	Notes
Deafula	1975	tt0123790	https://www.imdb.com/title/tt0123790/?ref_=ls_t_34	A theology student finds himself turning into a vampire and hunting other students for their blood.	First American Sign Language feature film ever made, the world of the film is an imaginary one where no hearing people exist: all the characters communicate in ASL, mixed cast of both Deaf and hearing actors.
In the Land of the Deaf	1992	tt0107796	https://www.imdb.com/title/tt0107796/?ref_=ls_t_38	A young musician named Ansel, and his unexpected encounter with Niall, an endearing, deaf dancer.	
Louder Than Words	2017	tt6952754	https://www.imdb.com/title/tt6952754/?ref_=ls_t_39	A young musician encounters an endearing, deaf dancer. Hearing actor plays Deaf dancer.	Has a hearing director. Hearing actor Marty Lauter plays a Deaf dancer
Danceable	2022	tt22098808	https://www.imdb.com/title/tt22098808/?ref_=ls_t_41	Three dancers with disabilities seek freedom through movement.	
Dosh	2023	tt28712304	https://www.imdb.com/title/tt28712304/?ref_=ls_t_42	When her son's life is put at risk at their family's pre-wedding ritual, a hard-of-hearing mother must decide how to seek help for her husband in order to keep her family safe. DOSH (which means "fault" in Hindi) is an immigrant story about love, family, and overcoming cultural taboos around mental health.	
Tarneit	2022	tt20237776	https://www.imdb.com/title/tt20237776/?ref_=ls_t_43	Inspired by stories of a distant place, best friends Tyrone and Clinton must fight to find a way out of Tarneit, a place surrounded by violence and tradition.	
Planet of Snail	2011	tt2057455	https://www.imdb.com/title/tt2057455/?ref_=ls_t_45	Young-Chan comes from planet of snail where deaf blind people live slow and quiet lives. When Young-Chan came to Earth, nobody understood his language and he was desperate. Then an angel walked into his life. Soon-Ho knows how it is to be lonely and soon becomes an inseparable part of his life. Young-Chan also discovers an amazing world under his fingers as he learned to read books with braille. Hopes began to grow and he dreams of writing a book. However, Soon-Ho cannot always be there for him because of her own problem of spine disability. The couple now should learn to survive alone. While Soon-Ho uneasily spends her first day waiting for his return, Young-Chan goes out for the biggest adventure of his life.	
Ingelore	2009	tt1533738	https://www.imdb.com/title/tt1533738/?ref_=ls_t_46	Ingelore Herz Honigstein was born in 1924 to Jewish parents in Kuppenheim Germany. She is deaf. As an expression of their embarrassment over their mute child, her parents ignore her and make no attempt at communication. She is sent to a variety of schools and tutors where she learns the most rudimentary forms of language. At the age of six she says her first word. At the age of twelve she finally constructs a complete sentence. She enters the first grade at the age of 13 and for the first time comes into contact with other deaf children. Her short lived education is interrupted by Kristalnact when she is thrown out of school and sent home. Ingelore offers a unique perspective on the Holocaust. Through her eyes we see the shifts in her classmates and neighbors attitudes. She witnesses her father being taken and then released from Dachau She is raped by Nazi cadets on the streets of Berlin, negotiates for her life with an unfeeling official at the US Consulate in Stuttgart and finally escapes Germany for the United States where she learns that she is now pregnant as a result of the rape. Her amazing life shapes her into an extraordinary teacher and we learn the power of light over darkness. 'Ingelore' is more than a biography it is a meditation on freedom both physical and emotional.	
Signs and Gestures	2021	tt10569678	https://www.imdb.com/title/tt10569678/?ref_=ls_t_47	Signs and Gestures is a different film about a blind date. Clara relies on sound and touch to communicate, while Simon uses BSL. They both don't know this about each other when they decide to meet up. Will they find a way to connect?	
No Ordinary Hero: The Super Deafy Movie	2013	tt2907898	https://www.imdb.com/title/tt2907898/?ref_=ls_t_48	A deaf actor who plays a superhero must inspire a deaf boy to believe in himself.	
The Loud Song of Silence	2023	tt30219705	https://www.imdb.com/title/tt30219705/?ref_=ls_t_49	About an actress of the theater "Nedoslov", Daria Katidi - a disabled child with congenital absolute deafness. Born in Omsk, in a family of deaf parents, she was able to overcome all prohibitions and obstacles and become the leading actress of the capital's theater.	
Hear in Between	2023	tt30220026	https://www.imdb.com/title/tt30220026/?ref_=ls_t_50	Muhammad Raditya Firmansyah, who is familiarly called Radit, is a deaf child from Tenggarong, Kutai Kartanegara, East Kalimantan. Radit is nicknamed as The Blue Eyes because his eye color is different from the eye color of the people in his environment due to a genetic disorder (Waardenburg Syndrome) that also affects his hearing. At the age of 13, Radit still doesn't use hearing aids, so his communication skills are still limited in visual form. Radit's parents also tried so that their son could hear voices, even though he was only able to write.	
I Am CODA	2023	tt30220081	https://www.imdb.com/title/tt30220081/?ref_=ls_t_51	The film takes us into the large Sedlácek and Pulpán family, where the only hearing members are their children - CODA. In the 1980's, the term CODA was coined for these children, which is an abbreviation for Children Of Deaf Adults - loosely translated from English as hearing children of deaf parents. The main protagonist is a sixteen-year-old hearing girl, Jolanka, who lives in the shared custody of her deaf parents. She is trying to find her place "in between" these two worlds. We follow her daily life full of challenges, obstacles and joys, whether she is in hearing or deaf world. "I am CODA" brings viewers a unique insight into the lives of family members from two different language cultures, a view of their communication in spoken and sign language. All of this leaves us with a deep awareness of the power of the human spirit and a desire to understand all those who share their worlds with us.	
Tharcisse A.K.A Drogba: The Deaf Shoe Maker	2023	tt30220033	https://www.imdb.com/title/tt30220033/?ref_=ls_t_52	Tharcise was born deaf. After his parents died he was adopted in a very poor family but after some time an organization that supports youths who live with a disability helped him and taught him how to make shoes. Now his life has changed as he can be able to make shoes, sell and earn some money to support himself and his adoptive mother. It has also boosted his morale.	
The Sound of the Sea	2023	tt30219733	https://www.imdb.com/title/tt30219733/?ref_=ls_t_53	Desyrèe did not pass the audiological screening at birth and the parents are given the news that the child suffers from profound bilateral deafness. Anxiety seizes them with force but science will find a solution for them and a world made of sounds will open up for Desyrèe.	
Do You Understand?	2023	tt30220057	https://www.imdb.com/title/tt30220057/?ref_=ls_t_54	A film produced by Jack Smallwood will portray the emotions expressed by D/deaf people via a short BSL poem created specifically for this project. The poem will tackle the concept of dual identity with D/deafness in relation to selfhood. This short film features people who are deaf/hard of hearing and are born, raised and live in Wolverhampton.	
El poder de las manos	2023	tt30219647	https://www.imdb.com/title/tt30219647/?ref_=ls_t_55	A journey-documentary that tells the story of the life and journey of Esmeralda, from birth to adulthood. With the participation of other deaf people, who add different experiences, but who coincide in the problems and the confusion that the environment generates for them. Confusion that, at the same time, from another point of view, is shared by the director, Raquel Abellán, who, through her voice-over, narrates throughout the documentary the experience of a hearing person who finds it difficult to understand some things about the deaf community but at the same time discovers a completely new and magical world where there is only silence.	
Speak in a Whisper	2022	tt22175208	https://www.imdb.com/title/tt22175208/?ref_=ls_t_56	In the middle of what would have otherwise been a banal evening, everything Céleste has been trying to hide comes to light.	
Lacrimosa	2017	tt3700500	https://www.imdb.com/title/tt3700500/?ref_=ls_t_57	The semi-autobiographical story of Justin, a young deaf man growing up in a hearing world.	
