Title	Year	IMDb ID	IMDb URL	Description
Dead Silence (TV Movie)	1997	tt0118942	https://www.imdb.com/title/tt0118942/?ref_=ls_t_29	A veteran FBI agent negotiates the release of a bus-load of hearing-impaired school-children taken hostage by 3 desperate escaped convicts.
After the Silence	1996	tt0115748	https://www.imdb.com/title/tt0115748/?ref_=ls_t_30	Laura is a 20-year-old deaf girl who has never been taught sign language. She is rescued from neglect and physical abuse by Pam, a social worker who teaches her how to communicate--and uncovers her true personality.
Bridge to Silence (TV Movie)	1989	tt0096981	https://www.imdb.com/title/tt0096981/?ref_=ls_t_31	After her husband is killed in a car accident, Peg, who is deaf, has a nervous breakdown. Her mother assumes custody of Peg's daughter Lisa but after Peg recovers, Peg's mother refuses to let her daughter take back custody.
A Summer to Remember (TV Movie)	1985	tt0090099	https://www.imdb.com/title/tt0090099/?ref_=ls_t_32	Silent since losing his hearing to meningitis, young Toby Wyler takes a bitter stance against the world and his family, refusing to accept his new stepfather. But when a highly trained orangutan named Casey is thrown from a truck near Toby's home, the boy soon has a secret friend he can communicate with via sign language.
Out of the Past	1947	tt0039689	https://www.imdb.com/title/tt0039689/?ref_=ls_t_33	A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.
You'd Be Surprised	1926	tt0017585	https://www.imdb.com/title/tt0017585/?ref_=ls_t_34	At first it was a theft, then murders began - and every witness is under threat.
The Family Stone	2005	tt0356680	https://www.imdb.com/title/tt0356680/?ref_=ls_t_35	An uptight businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.
Dummy Jim	2013	tt2554646	https://www.imdb.com/title/tt2554646/?ref_=ls_t_37	
Conned	2010	tt1668074	https://www.imdb.com/title/tt1668074/?ref_=ls_t_36	The Boston Underworld is too small for all of them. And there's only one big prize left. It's about to go under. All the smart operators have gone to jail, and all that's left behind are the eccentric whacks and nut jobs deemed unworthy of being put behind bars. From Napolitano who runs the North End with the belief that every room is bugged, to Mr. Million, who is so insecure he needs constant reassurance, to a rampant gang that can't take directions from anyone, simply because they can't hear a single thing- their preferred method of communication is sign language which leaves everyone asking, just what is going on? Out of this melting pot of eccentric and dysfunctional criminals, ambitions arise and inevitably clash. With less and less up for stake, there is a sense of urgency for everyone to grab what they can and make a run for it before the underworld is shut down for good. As time runs out, attention turns to the biggest horse race which everyone knows is fixed, but just what is fixed? While everyone zeroes in on cashing out on the fixed race, they unfortunately become oblivious to the big con that is being laid out, leaving open the question of just who gets to take off with the big payday!
Mandy	1952	tt0045654	https://www.imdb.com/title/tt0045654/?ref_=ls_t_38	Mandy Garland was born deaf and has been mute for all of her life. Her parents believe she is able to speak if she can only be taught, and they enroll her with a special teacher.
The Court Jester	1955	tt0049096	http://imdb.com/title/tt0049096/?ref_=ls_t_39	A hapless carnival performer masquerades as the court jester as part of a plot against an evil ruler who has overthrown the rightful King.
Man of a Thousand Faces	1957	tt0050681	https://www.imdb.com/title/tt0050681/?ref_=ls_t_40	The life and career of vaudevillian and silent-screen horror star Lon Chaney, including his contentious relationship with his neurotic wife and his premature death.
The Story of Esther Costello	1957	tt0051015	https://www.imdb.com/title/tt0051015/?ref_=ls_t_41	A wealthy woman aids a deaf-blind teen orphan from her Irish village, becoming a mother figure. She must protect the girl from exploitative promoters and her ex-husband's schemes.
Psych-Out	1968	tt0063469	https://www.imdb.com/title/tt0063469/?ref_=ls_t_42	A deaf runaway is taken in by a psychedelic rock band while searching for her missing brother in San Francisco's Haight-Ashbury hippie district.
Tin Man	1983	tt0086445	https://www.imdb.com/title/tt0086445/?ref_=ls_t_43	A young man, born deaf, invents a computer so he can hear and speak with others.
Crazy Moon	1987	tt0090882	https://www.imdb.com/title/tt0090882/?ref_=ls_t_44	A rich young kleptomaniac and a deaf store worker form a relationship after an ordeal with a stolen mannequin.
Walker	1987	tt0096409	https://www.imdb.com/title/tt0096409/?ref_=ls_t_45	An unconventional retelling of the life of William Walker, a 19th century American mercenary leader who became the president of Nicaragua.
Suspect	1987	tt0094082	https://www.imdb.com/title/tt0094082/?ref_=ls_t_46	When a homeless man is accused of murdering a Justice Department file clerk, a public defender is tasked with mounting his legal defense.
A Scene at the Sea	1991	tt0103704	https://www.imdb.com/title/tt0103704/?ref_=ls_t_47	The lives of a young, hearing-impaired and gloomy couple are fulfilled after the boy holds interest in surfboarding.
Wild Flower (TV Movie)	1991	tt0103266	https://www.imdb.com/title/tt0103266/?ref_=ls_t_48	An abused, partially-deaf girl is helped back into society by two resourceful children.
